# KMCs    CPU time    Old energy    New energy     barrier  Total rate   time step    Sim time    Selec Ev   Init Topo    Sad Topo    Fin Topo
# **** ***********    **********   *********** ***********  **********  ********** *********** *********** *********** *********** ***********
   136  0.5106E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.6264E-09  0.1199E-06     1231596      826328      746389      239853
   137  0.5107E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.6705E-11  0.1199E-06     1023159      239853      746389      826328
   138  0.5108E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1092E-08  0.1210E-06      951518      120803     1232678      712460
   139  0.5110E+05    -2340.9031    -2341.0502      0.5996  0.5233E+10  0.2162E-09  0.1212E-06      975973      712460     1232678      120803
   140  0.5111E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1248E-08  0.1224E-06      951518      120803     1232678      712460
   141  0.5112E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.4024E-09  0.1228E-06      975973      712460     1232678      120803
   142  0.5113E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1724E-10  0.1229E-06      951518      120803     1232678      712460
   143  0.5114E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.2442E-09  0.1231E-06      975973      712460     1232678      120803
   144  0.5115E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.5444E-09  0.1237E-06      951518      120803     1232678      712460
   145  0.5116E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.1614E-09  0.1238E-06      975973      712460     1232678      120803
   146  0.5118E+05    -2341.0502    -2340.9031      0.7467  0.1002E+10  0.1296E-08  0.1251E-06      951518      120803     1232678      712460
   147  0.5119E+05    -2340.9031    -2341.0502      0.5996  0.5232E+10  0.3423E-09  0.1254E-06      975973      712460     1232678      120803
   148  0.5120E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.3637E-09  0.1258E-06     1231596      826328      746389      239853
   149  0.5120E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.2226E-09  0.1260E-06     1023159      239853      746389      826328
   150  0.5121E+05    -2341.0502    -2340.7341      0.8185  0.1002E+10  0.2642E-09  0.1263E-06     1231596      826328      746389      239853
   151  0.5122E+05    -2340.7341    -2341.0502      0.5024  0.1551E+11  0.1758E-10  0.1263E-06     1023159      239853      746389      826328
   152  0.5123E+05    -2341.0502    -2341.0077      0.9636  0.1002E+10  0.2917E-09  0.1266E-06      389315     1001192      665417       19703
   153  0.5200E+05    -2341.0077    -2340.9580      0.9742  0.2537E+09  0.1647E-08  0.1283E-06       36881      609627      156382      902445
   154  0.5252E+05    -2340.9580    -2340.7653      0.5439  0.1202E+11  0.4167E-10  0.1283E-06       35179      474844     1116263      607306
   155  0.5320E+05    -2340.7653    -2340.9580      0.3512  0.1085E+12  0.6633E-12  0.1283E-06      788971      607306     1116263      474844
   156  0.5322E+05    -2340.9580    -2340.7653      0.5439  0.1202E+11  0.1392E-10  0.1283E-06       35179      474844     1116263      607306
   157  0.5323E+05    -2340.7653    -2340.9581      0.3512  0.1085E+12  0.1417E-10  0.1283E-06      788971      607306     1116263      474844
   158  0.5325E+05    -2340.9581    -2341.0845      0.6318  0.1201E+11  0.9507E-11  0.1283E-06      640021      197704      720918     1028584
   159  0.5409E+05    -2341.0845    -2340.9581      0.7582  0.9044E+09  0.1638E-08  0.1300E-06      736594     1028584      720918      197704
   160  0.5412E+05    -2340.9581    -2340.7653      0.5439  0.1201E+11  0.7697E-10  0.1301E-06       35179      474844     1116263      607306
   161  0.5415E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.7790E-11  0.1301E-06      788971      607306     1116263      474844
   162  0.5416E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.1085E-09  0.1302E-06       35179      474844     1116263      607306
   163  0.5417E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.1671E-10  0.1302E-06      788971      607306     1116263      474844
   164  0.5420E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.4569E-10  0.1302E-06       35179      474844     1116263      607306
   165  0.5421E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.4941E-11  0.1302E-06      788971      607306     1116263      474844
   166  0.5422E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.9473E-10  0.1303E-06       35179      474844     1116263      607306
   167  0.5423E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.1522E-10  0.1303E-06      788971      607306     1116263      474844
   168  0.5426E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.8374E-10  0.1304E-06       35179      474844     1116263      607306
   169  0.5427E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.2876E-11  0.1304E-06      788971      607306     1116263      474844
   170  0.5428E+05    -2340.9581    -2341.0845      0.6318  0.1201E+11  0.9496E-10  0.1305E-06      640021      197704      720918     1028584
   171  0.5438E+05    -2341.0845    -2340.9581      0.7582  0.9045E+09  0.1682E-09  0.1307E-06      736594     1028584      720918      197704
   172  0.5441E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.2107E-09  0.1309E-06       35179      474844     1116263      607306
   173  0.5442E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.6545E-11  0.1309E-06      788971      607306     1116263      474844
   174  0.5443E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.2469E-10  0.1309E-06       35179      474844     1116263      607306
   175  0.5444E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.3278E-11  0.1309E-06      788971      607306     1116263      474844
   176  0.5445E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.1703E-09  0.1311E-06       35179      474844     1116263      607306
   177  0.5448E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.1745E-11  0.1311E-06      788971      607306     1116263      474844
   178  0.5450E+05    -2340.9581    -2341.0845      0.6319  0.1201E+11  0.3296E-09  0.1314E-06      640021      197704      720918     1028584
   179  0.5461E+05    -2341.0845    -2340.9581      0.7582  0.9045E+09  0.1384E-09  0.1316E-06      736594     1028584      720918      197704
   180  0.5461E+05    -2340.9581    -2340.7653      0.5440  0.1201E+11  0.2769E-09  0.1319E-06       35179      474844     1116263      607306
   181  0.5464E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.3813E-11  0.1319E-06      788971      607306     1116263      474844
   182  0.5465E+05    -2340.9581    -2340.7653      0.5439  0.1201E+11  0.2695E-10  0.1319E-06       35179      474844     1116263      607306
   183  0.5466E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.4268E-13  0.1319E-06      788971      607306     1116263      474844
   184  0.5468E+05    -2340.9581    -2340.7653      0.5439  0.1201E+11  0.2136E-09  0.1321E-06       35179      474844     1116263      607306
   185  0.5469E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.2735E-11  0.1321E-06      788971      607306     1116263      474844
   186  0.5471E+05    -2340.9581    -2340.7653      0.5439  0.1201E+11  0.1132E-09  0.1322E-06       35179      474844     1116263      607306
   187  0.5471E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.3827E-11  0.1322E-06      788971      607306     1116263      474844
   188  0.5472E+05    -2340.9581    -2340.7653      0.5439  0.1201E+11  0.4504E-10  0.1323E-06       35179      474844     1116263      607306
   189  0.5473E+05    -2340.7653    -2340.9581      0.3511  0.1085E+12  0.5905E-12  0.1323E-06      788971      607306     1116263      474844
   190  0.5474E+05    -2340.9581    -2340.9730      1.2931  0.1201E+11  0.6438E-10  0.1323E-06      595116      306136      982396     1098095
   191  0.5532E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.2796E-10  0.1324E-06      726882      915855      423714      840447
   192  0.5603E+05    -2341.3038    -2340.9730      0.6665  0.2116E+10  0.1247E-10  0.1324E-06      816648      840447      423714      915855
   193  0.5604E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.5959E-11  0.1324E-06      726882      915855      423714      840447
   194  0.5606E+05    -2341.3038    -2340.9730      0.6665  0.2116E+10  0.4907E-09  0.1329E-06      816648      840447      423714      915855
   195  0.5609E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.2187E-11  0.1329E-06      726882      915855      423714      840447
   196  0.5613E+05    -2341.3038    -2340.9730      0.6665  0.2115E+10  0.2416E-09  0.1331E-06      816648      840447      423714      915855
   197  0.5614E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.1117E-11  0.1331E-06      726882      915855      423714      840447
   198  0.5617E+05    -2341.3038    -2340.9730      0.6665  0.2115E+10  0.2376E-09  0.1334E-06      816648      840447      423714      915855
   199  0.5619E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.1500E-11  0.1334E-06      726882      915855      423714      840447
   200  0.5620E+05    -2341.3038    -2340.9730      0.6665  0.2115E+10  0.1928E-09  0.1335E-06      816648      840447      423714      915855
   201  0.5623E+05    -2340.9730    -2341.3038      0.3357  0.1329E+12  0.7214E-11  0.1336E-06      726882      915855      423714      840447
